#x position, y position, x correction 
-7.4811672, 2.5848576, -8.83737581718
-7.4811672, -2.5848576, -8.83738893968
-6.877624, 2.655952, -7.91342618609
-6.877624, -2.655952, -7.91336902002
-6.2059296, 2.7203592, -6.96456139995
-6.2059296, -2.7203592, -6.96449142651
-5.4677064, 2.7784016, -5.9962014609
-5.4677064, -2.7784016, -5.99622538488
-4.667052, 2.8285712, -5.01385498491
-4.667052, -2.8285712, -5.0139107422
-3.8093952, 2.8702544, -4.02150893787
-3.8093952, -2.8702544, -4.02147615209
-2.9027128, 2.9027024, -3.02134322679
-2.9027128, -2.9027024, -3.0213150754
-1.9575192, 2.9262272, -2.01644681203
-1.9575192, -2.9262272, -2.01644701531
-0.9855976, 2.9404128, -1.00904461277
-0.9855976, -2.9404128, -1.00905848329
-1.4090336e-06, 2.9451552, 7.59770424374e-06
-1.4090336e-06, -2.9451552, 5.98047356437e-06
0.98559552, 2.9404128, 1.00905686548
0.98559552, -2.9404128, 1.00905833957
1.9575192, 2.9262272, 2.01644182693
1.9575192, -2.9262272, 2.01644143411
2.9027128, 2.9027128, 3.02136406917
2.9027128, -2.9027128, 3.02135850969
3.8093848, 2.8702128, 4.02154806057
3.8093848, -2.8702128, 4.02151448843
4.6670416, 2.8285504, 5.01388037297
4.6670416, -2.8285504, 5.01384386721
5.4677064, 2.778412, 5.99625668949
5.4677064, -2.778412, 5.99617525511
6.2059296, 2.7204112, 6.96461651473
6.2059296, -2.7204112, 6.96452930004
6.877624, 2.6559728, 7.9134110008
6.877624, -2.6559728, 7.91339637151
7.4811672, 2.5848888, 8.83740155632
7.4811672, -2.5848888, 8.8373800192
8.0164864, 2.508428, 9.7309185312
8.0164864, -2.508428, 9.73087597695
8.4852872, 2.427724, 10.5847500647
8.4852872, -2.427724, 10.5849026913
8.8906584, 2.34338, 11.3865388822
8.8906584, -2.34338, 11.3868550117
-8.842964, 3.08854, -11.6278731061
-8.842964, -3.08854, -11.6277185676
-8.4322784, 3.1982704, -10.7797190095
-8.4322784, -3.1982704, -10.7799089819
-7.9596712, 3.3030088, -9.89561313546
-7.9596712, -3.3030088, -9.89562732578
-7.4222408, 3.4019336, -8.97246196813
-7.4222408, -3.4019336, -8.97244773808
-6.8184272, 3.4936304, -8.01939425677
-6.8184272, -3.4936304, -8.01943471312
-6.1483864, 3.576456, -7.04648165181
-6.1483864, -3.576456, -7.04648866484
-5.41372, 3.6508576, -6.05821817317
-5.41372, -3.6508576, -6.05814849044
-4.6185152, 3.7149736, -5.06054676138
-4.6185152, -3.7149736, -5.06053877962
-3.7680864, 3.7681176, -4.05420474927
-3.7680864, -3.7681176, -4.05424475184
-2.870244, 3.8093848, -3.04357651892
-2.870244, -3.8093848, -3.04353885934
-1.935128, 3.8392432, -2.03037543202
-1.935128, -3.8392432, -2.03034879097
-0.97417736, 3.8572352, -1.01561448587
-0.97417736, -3.8572352, -1.01561801833
-5.8124352e-06, 3.8632464, 7.00791006025e-06
-5.8124352e-06, -3.8632464, -4.33347452988e-06
0.9741628, 3.8572456, 1.01559808228
0.9741628, -3.8572456, 1.01559373364
1.9351176, 3.8392536, 2.03038999966
1.9351176, -3.8392536, 2.03034322907
2.8702336, 3.8093952, 3.0436146008
2.8702336, -3.8093952, 3.04356859018
3.768076, 3.768076, 4.05419025807
3.768076, -3.768076, 4.05420479924
4.6185048, 3.7149528, 5.06057821919
4.6185048, -3.7149528, 5.06051878098
5.4137096, 3.650868, 6.05824329551
5.4137096, -3.650868, 6.05817186987
6.148376, 3.5764976, 7.04647426898
6.148376, -3.5764976, 7.04645744415
6.8184168, 3.4936512, 8.0193842812
6.8184168, -3.4936512, 8.01936129079
7.4222304, 3.4019544, 8.97242223445
7.4222304, -3.4019544, 8.97241851263
7.9596608, 3.3030296, 9.8956168292
7.9596608, -3.3030296, 9.89559569402
8.432268, 3.1983016, 10.7798967906
8.432268, -3.1983016, 10.779762902
8.842964, 3.0885712, 11.6277106076
8.842964, -3.0885712, 11.6279095806
-8.3607992, 3.937752, -11.0545017457
-8.3607992, -3.937752, -11.0542912414
-7.8839488, 4.064164, -10.110121428
